Agreement,Agreementname,ACCT,Territory,Region,TransactionDate,EE,ND,SD,GR,WW,Other,TOTAL,DOCS,AccountName,QuotaEE,QuotaND,QuotaSD,QuotaGR,QuotaWW,QuotaOther,LastYearEE,LastYearND,LastYearSD,LastYearGR,LastYearWW,LastYearOther,Year,Period
    ,,242472,QUE2 ,Quebec,6/22/2020,0,31.58,0,0,0,0.85,32.43,2,LA SOCIETE DROUIN FOURNIER ET ASSOC,0,34.65,0,0,0,0,0,33.64,0,0,0,0,2020,6
56,Essilor                                           ,176168,QUE1 ,central,6/22/2020,0,7549.9,0,0,0,301.95,7851.85,453,SHAMIR CANADA,0,15781.4,0,0,0,41.11,0,15321.75,0,0,0,39.91,2020,6
241,RSA                                               ,80248,CORP1,central,6/22/2020,9575.25,5510.04,0,0,0,26,15111.29,23,ROYAL & SUNALLIANCE (BRKR DIST),13806.62,7884.04,0,0,0,0,13404.49,7654.41,0,0,0,0,2020,6
602,Siemens Hearing Instruments Inc. (Inbound)        ,225089,CORP1,central,6/22/2020,0,43994.82,0,0,0,531.5,44526.32,1177,SIVANTOS INC.,0,73227.76,0,0,0,564.44,0,71094.91,0,0,0,548,2020,6
315,Sinclair Dental                                   ,153079,BC1  ,central,6/19/2020,0,1248.77,0,0,0,5.05,1253.82,106,SINCLAIR DENTAL CO. LTD.,0,4135.42,0,0,0,0,0,4014.97,0,0,0,0,2020,6
    ,,6611,WEST ,west,6/19/2020,61,276.48,0,0,0,120.62,458.1,13,HUB INTERNATIONAL,302.47,1749.17,0,0,0,805.46,293.66,1698.22,0,0,0,782,2020,6
439,LABORATOIRE MORISSET                              ,179875,QUE2 ,Quebec,6/19/2020,0,6250.86,0,0,0,53.56,6304.42,367,LAB. DENTAIRE MORISSET,0,13902.79,0,0,0,7.57,0,13497.85,0,0,0,7.35,2020,6
612,FYIdoctors                                        ,174456,BC1  ,west,6/19/2020,0,259.25,0,0,0,0,259.25,16,FYI EYE CARE SERVICES AND PRODUCTS,0,514.26,0,0,0,0,0,499.28,0,0,0,0,2020,6
    ,,179861,QUE2 ,Quebec,6/19/2020,0,561.67,0,0,0,0,561.67,39,LABORATOIRE DENTAIRE,0,1078.08,0,0,0,3.45,0,1046.68,0,0,0,3.35,2020,6
    ,,204709,ATL1 ,Atlantic,6/19/2020,0,50.26,0,0,0,1.46,51.72,4,VANGUARD FINANCIAL GROUP,0,44.93,0,0,0,0,0,43.62,0,0,0,0,2020,6
612,FYIdoctors                                        ,97414,BC1  ,central,6/19/2020,0,93.92,0,0,0,0,93.92,10,FYI EYE CARE SERVICES AND PRODUCTS,0,125.84,0,0,0,0,0,122.17,0,0,0,0,2020,6
827,Lobe Reseau Inc                                   ,248744,QUE2 ,Quebec,6/19/2020,0,50.22,0,0,0,0.85,51.07,4,"NDP - MORRISSETTE ET ASSOCIES, S.E.",0,109.53,0,0,0,5.25,0,106.34,0,0,0,5.1,2020,6
612,FYIdoctors                                        ,96462,BC1  ,west,6/19/2020,0,115.36,0,0,0,0,115.36,10,FYI EYE CARE SERV. AND PROD. INC.,0,190.64,0,0,0,0,0,185.09,0,0,0,0,2020,6
14,Lunetterie New Look                               ,180042,QUE1 ,Quebec,6/19/2020,0,79.78,0,0,0,0,79.78,10,IRIS 415 -IRIS #415 IGV,0,252.28,0,0,0,3.45,0,244.93,0,0,0,3.35,2020,6
    ,,179835,QUE2 ,Quebec,6/19/2020,0,390.98,0,0,0,0,390.98,32,LABORATOIRE DENTAIRE,0,1021.72,0,0,0,0,0,991.96,0,0,0,0,2020,6
612,FYIdoctors                                        ,206150,BC1  ,Quebec,6/19/2020,0,130.15,0,0,0,0,130.15,14,VISIQUE ROSEMERE,0,423.58,0,0,0,22.66,0,411.24,0,0,0,22,2020,6
973,Bonlook                                           ,244463,QUE1 ,Quebec,6/19/2020,0,1254.36,0,0,0,15.7,1270.06,35,BONLOOK,0,11558.01,37.39,147.07,0,27.4,0,11221.37,36.3,142.79,0,26.6,2020,6
190,Hoya Lens Canada Inc.                             ,238087,CORP2,Quebec,6/19/2020,0,887.55,0,0,0,3.95,891.5,70,VISIONTECH RIVE-SUD,0,911.27,407.16,0,0,0,0,884.73,395.3,0,0,0,2020,6
3,Hallmark Dental Lab                               ,180050,QUE2 ,Atlantic,6/19/2020,0,2353.74,0,0,0,133.14,2486.88,55,HALLMARK DENTAL LAB,0,6578.28,0,0,0,115.93,0,6386.68,0,0,0,112.55,2020,6
257,Bernafon Canada Ltd                               ,248711,CORP2,central,6/19/2020,0,2536.92,0,0,0,0,2536.92,61,DEMANT CANADA,0,3612.97,0,0,0,0,0,3507.74,0,0,0,0,2020,6
56,Essilor                                           ,115859,QUE1 ,Quebec,6/19/2020,0,5890.2,0,0,0,83.56,5973.76,80,CANOPTEC,144.83,9780.35,2186.46,0,0,1.86,140.61,9495.49,2122.78,0,0,1.81,2020,6
267,PROTEXX + NORTHERN SURGICAL                       ,203717,ONTA ,central,6/19/2020,0,4527.52,0,37.27,0,61.5,4626.29,22,NORTHERN SURGICAL,0,9980.48,0,100.05,0,0,0,9689.79,0,97.14,0,0,2020,6
678,Pro-Art Dental Lab Inc                            ,99525,ONTA ,central,6/19/2020,0,568.87,0,0,0,11.65,580.52,37,PRO-ART DENTAL LAB LTD.,0,2275.21,0,0,0,0,0,2208.94,0,0,0,0,2020,6
247,Plastic Plus                                      ,99177,CORP1,central,6/19/2020,19.09,35302.95,0,0,0,1867.9,37189.94,651,PLASTIC PLUS,269.23,67677.2,0,0,0,289.43,261.39,65706.02,0,0,0,281,2020,6
    ,,179963,QUE1 ,Quebec,6/19/2020,0,263.43,0,0,0,2.24,265.67,18,LABORATOIRE DENTAIRE,0,637.51,0,0,0,0,0,618.94,0,0,0,0,2020,6
676,United Dental Lab                                 ,180062,ATL1 ,Atlantic,6/19/2020,0,823.06,0,0,0,40.61,863.67,36,UNITED DENTAL LAB.,0,2932.76,0,0,0,134.16,0,2847.34,0,0,0,130.25,2020,6
56,Essilor                                           ,99033,QUE1 ,central,6/19/2020,0,10293.56,0,0,0,367.6,10661.16,656,CANOPTEC,17.16,12738.62,946.09,0,0,10.35,16.66,12367.59,918.53,0,0,10.05,2020,6
56,Essilor                                           ,215290,QUE1 ,west,6/19/2020,0,2942.97,0,0,0,107.88,3050.85,124,CLARITY OPTICAL TRADE,0,2570.49,4221.3,0,0,147.79,0,2495.62,4098.35,0,0,143.49,2020,6
865,Laboratoire Dent-Estherium Inc                    ,109497,QUE1 ,Quebec,6/19/2020,0,284.95,0,0,0,0,284.95,30,DENT-ESTHERIUM INC.,0,648.83,0,0,0,0,0,629.93,0,0,0,0,2020,6
148,Star Clip-On Supply                               ,165143,ONTA ,central,6/19/2020,21.48,2080.56,0,0,0,186.94,2288.98,62,STAR CLIP ON SUPPLIES,66.11,4487.24,0,0,0,56.65,64.18,4356.54,0,0,0,55,2020,6
612,FYIdoctors                                        ,98300,BC1  ,Quebec,6/19/2020,0,142.54,0,0,0,0,142.54,16,VISIQUE GASPE,0,233.86,0,0,0,0,0,227.05,0,0,0,0,2020,6
    ,,228086,QUE2 ,Quebec,6/19/2020,0,12.67,0,0,0,0.85,13.52,1,GROUPE SINISCO INC,0,25.03,0,0,0,1.75,0,24.3,0,0,0,1.7,2020,6
    ,,180093,QUE1 ,Quebec,6/19/2020,0,1283.01,0,0,0,67.62,1350.63,59,"LABORATOIRE DENTAIRE LAFOND,",0,3823.04,0,0,0,34.35,0,3711.69,0,0,0,33.35,2020,6
837,Star Vision                                       ,127961,ONTA ,central,6/19/2020,0,1272.16,0,0,0,0,1272.16,66,STAR VISION,0,2694.48,0,0,0,0,0,2616,0,0,0,0,2020,6
    ,,245414,ONTC ,central,6/19/2020,0,230.03,0,0,0,0.85,230.88,17,DIGITAL DENTAL STUDIO,0,591.17,0,0,0,61.08,0,573.95,0,0,0,59.3,2020,6
    ,,235869,BC1  ,west,6/19/2020,0,67.09,0,0,0,2.49,69.58,7,EYE SEE 20/20 OPTICAL,0,20.03,0,0,0,0,0,19.45,0,0,0,0,2020,6
560,Body Plus                                         ,218355,ONTA ,central,6/19/2020,0,3370.3,0,0,0,20.16,3390.46,34,BODY PLUS,0,5426.41,0,0,0,-92.85,0,5268.36,0,0,0,-90.15,2020,6
    ,,237080,ONTC ,central,6/19/2020,0,82.28,0,0,0,11.43,93.71,5,LANDMARK CANADA,0,689.79,0,0,0,1.75,0,669.7,0,0,0,1.7,2020,6
137,R & S Orthodontic Lab                             ,172320,ONTA ,central,6/19/2020,0,1743.45,0,0,0,30.35,1773.8,103,R & S ORTHODONTIC LAB.,0,7015.18,0,0,0,0,0,6810.85,0,0,0,0,2020,6
835,Lab. Tech Alliage                                 ,99967,QUE1 ,Quebec,6/19/2020,0,227.88,0,0,0,0,227.88,17,LAB. TECH ALLIAGE,0,617.25,0,0,0,0,0,599.27,0,0,0,0,2020,6
920,Shaw Group Labs                                   ,99669,CORP1,central,6/19/2020,0,3189.05,0,0,0,44.7,3233.75,191,SHAW DENTAL LABORATORY INC.,0,8507.06,0,0,0,12.36,0,8259.28,0,0,0,12,2020,6
14,Lunetterie New Look                               ,204268,QUE1 ,Quebec,6/19/2020,0,37254.36,0,0,0,1520.21,38774.57,33,GROUPE VISION NEW LOOK INC.,0,61338.8,289.1,0,0,2042.03,0,59552.23,280.68,0,0,1982.55,2020,6
977,Biotech Orthotic Design Inc                       ,245913,QUE2 ,Atlantic,6/19/2020,0,907.04,0,0,0,26.93,933.97,32,BIOTECH ORTHOTIC DESIGN INC.,0,2296.23,0,0,0,63.35,0,2229.35,0,0,0,61.5,2020,6
14,Lunetterie New Look                               ,116199,QUE1 ,Quebec,6/19/2020,0,129.26,0,0,0,0,129.26,18,IRIS VARENNES #332,0,228.71,0,0,0,0,0,222.05,0,0,0,0,2020,6
248,Swiftpost                                         ,249383,999,central,6/19/2020,0,417.02,0,0,0,1.67,418.69,48,IMAGE DENTAL LABORATORY,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
    ,,234698,ONTA ,central,6/19/2020,0,1057.39,0,0,0,41.93,1099.32,16,SOUND ORTHOTICS,0,-56.42,0,0,0,0,0,-54.78,0,0,0,0,2020,6
258,The Sonova Group - Unitron Hearing Aids           ,236938,CORP1,central,6/19/2020,0,222.72,0,0,0,0,222.72,41,PHONAK CANADA - MKT,0,1674.68,0,0,0,33.99,0,1625.9,0,0,0,33,2020,6
618,TransForce                                        ,226485,999,central,6/19/2020,0,26.71,0,0,0,0.93,27.64,2,TST EXPEDITED SERVICES,0,80.39,0,0,0,0,0,78.05,0,0,0,0,2020,6
899,Central Dental Laboratories                       ,201140,ONTA ,central,6/19/2020,0,148.67,0,0,0,0,148.67,11,AESTHETIC MINDS DENTAL DESIGN INC.,0,866.03,0,0,0,22.66,0,840.81,0,0,0,22,2020,6
920,Shaw Group Labs                                   ,244451,CORP1,Quebec,6/19/2020,0,391.9,0,0,0,38.05,429.95,34,SHAW DENTAL LABORATORY INC.,0,477.65,0,0,0,0,0,463.74,0,0,0,0,2020,6
56,Essilor                                           ,99241,QUE1 ,Quebec,6/19/2020,0,3995.11,0,0,0,69.71,4064.82,249,LABORATOIRE D'OPTIQUE S.D.L. INC.,0,7542.62,1229.72,0,0,110.7,0,7322.93,1193.9,0,0,107.48,2020,6
    ,,245299,ONTA ,central,6/19/2020,0,22.81,0,0,0,0,22.81,2,Z-DENTECH,0,23.29,0,0,0,0,0,22.61,0,0,0,0,2020,6
612,FYIdoctors                                        ,244388,BC1  ,Quebec,6/19/2020,0,282.4,0,16.95,0,0,299.35,22,VISIQUE CAP-ROUGE,0,503.46,0,0,0,0,0,488.8,0,0,0,0,2020,6
304,Oto Hearing Products                              ,99314,BC1  ,west,6/19/2020,113.75,2304.8,0,0,0,98.8,2517.35,121,OTO HEARING PRODUCTS LTD.,219.55,6489.12,0,0,0,77.61,213.16,6300.12,0,0,0,75.35,2020,6
56,Essilor                                           ,210956,QUE1 ,central,6/19/2020,0,5592.61,0,0,0,100.6,5693.21,737,NIKON OPTICAL CANADA INC.,0,14173.15,1115.56,0,0,34.41,0,13760.34,1083.07,0,0,33.41,2020,6
56,Essilor                                           ,99436,QUE1 ,central,6/19/2020,0,2955.02,0,0,0,16.3,2971.32,392,ESSILOR CANADA,0,4409.52,0,0,0,0,0,4281.09,0,0,0,0,2020,6
329,MILIDENT INC.                                     ,247183,QUE1 ,Quebec,6/19/2020,0,180.81,0,0,0,3.77,184.58,15,MILIDENT MONTREAL INC,0,422.41,0,0,0,0,0,410.11,0,0,0,0,2020,6
8,Embouts Québec                                    ,245588,QUE2 ,Quebec,6/19/2020,0,2938.75,0,0,0,0,2938.75,254,EMBOUTS QUEBEC,0,4009.36,0,0,0,0,0,3892.58,0,0,0,0,2020,6
    ,,159008,ONTA ,central,6/19/2020,0,161.28,0,0,0,14.51,175.79,7,ASSESS REHAB SERV. INC/416-510-2468,0,577.69,0,0,0,0,0,560.86,0,0,0,0,2020,6
56,Essilor                                           ,115683,QUE1 ,Atlantic,6/19/2020,0,203.22,0,0,0,1.86,205.08,43,ECONO OPTIC LTEE,1.08,437.54,0,0,0,0,1.05,424.8,0,0,0,0,2020,6
56,Essilor                                           ,174627,QUE1 ,west,6/19/2020,0,3176.05,0,0,0,248.62,3424.67,163,CASCADE OPTICAL,0,4652.53,996.67,0,0,218.04,0,4517.02,967.64,0,0,211.69,2020,6
618,TransForce                                        ,248587,999,central,6/19/2020,0,161.07,0,0,0,3.98,165.05,14,CLARKE TRANSPORT INC.,0,670.15,0,0,0,0,0,650.63,0,0,0,0,2020,6
    ,,249212,ONTC ,central,6/19/2020,0,74.82,0,0,0,0,74.82,6,ABACUS DENTAL DESIGN,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
184,32 Dental Supplies                                ,248814,ONTA ,central,6/19/2020,0,3299.13,0,1191.49,0,363.35,4853.97,47,3Z DENTAL SUPPLIES,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
    ,,19,ONTA ,central,6/19/2020,1.09,56.75,0,0,0,120.76,178.6,5,HUB INTERNATIONAL SINCLAIR-COCKBURN,63.39,80.34,0,0,0,1.76,61.54,78,0,0,0,1.71,2020,6
612,FYIdoctors                                        ,176233,BC1  ,Atlantic,6/19/2020,0,201.77,0,0,0,5.5,207.27,15,FYI EYE CARE SERVICES AND PRODUCTS,0,356.26,0,0,0,0,0,345.88,0,0,0,0,2020,6
56,Essilor                                           ,99434,QUE1 ,Quebec,6/19/2020,0,939.15,0,0,0,11,950.15,111,ESSILOR CANADA,0,708.8,0,0,0,22.66,0,688.16,0,0,0,22,2020,6
225,Beltone Electronics                               ,170780,CORP1,central,6/19/2020,0,22850.94,0,0,0,1351.86,24202.8,795,RESOUND CANADA,0,37341.16,0,0,0,90.64,0,36253.55,0,0,0,88,2020,6
107,Les Service Optometriques                         ,216147,QUE2 ,Quebec,6/19/2020,0,4405.21,0,472.27,0,122.47,4999.95,122,SECURO VISION,0,4898.49,0,0,0,115.05,0,4755.82,0,0,0,111.7,2020,6
    ,,99670,ONTA ,central,6/19/2020,0,404.89,0,0,0,19.29,424.18,16,GORDANA DENTAL ART STUDIO,0,1626.41,0,12.59,0,0,0,1579.04,0,12.22,0,0,2020,6
116,Frontier Dental Supply                            ,248248,ONTA ,central,6/19/2020,0,5455.11,0,23.41,0,40.53,5519.05,55,FRONTIER DENTAL SUPPLY,0,8736.31,0,258.05,0,124.94,0,8481.85,0,250.53,0,121.3,2020,6
494,Emsee Lab Inc.                                    ,99245,ONTA ,central,6/19/2020,0,2890.06,0,0,0,62.44,2952.5,240,EMSEE LAB INC.,14.33,9441.5,0,0,0,47.74,13.91,9166.5,0,0,0,46.35,2020,6
793,Audiologix                                        ,240675,QUE1 ,Quebec,6/19/2020,0,933.16,0,0,0,6.07,939.23,32,AUDIOLOGIX,0,2056.08,0,0,0,6.7,0,1996.19,0,0,0,6.5,2020,6
188,Bausch & Lomb Canada Inc                          ,131055,CORP2,central,6/19/2020,0,59830,0,0,0,2523,62353,54,BAUSCH & LOMB CANADA,0,113157.08,0,0,0,2304.32,0,109861.24,0,0,0,2237.2,2020,6
671,D & D Optical Supplies                            ,211166,BC1  ,west,6/19/2020,0,1850.3,0,0,0,53.02,1903.32,56,D & D OPTICAL SUPPLIES,0,2682.87,1277.86,0,0,0,0,2604.73,1240.64,0,0,0,2020,6
612,FYIdoctors                                        ,177173,BC1  ,west,6/19/2020,0,156.45,0,0,0,0,156.45,17,FYI EYE CARE SERVICES & PROD. INC.,0,324.68,0,0,0,0,0,315.22,0,0,0,0,2020,6
474,Fashion Excellent Co.                             ,242260,ONTA ,central,6/19/2020,0,1707,0,0,0,58.27,1765.27,89,MAX VISION INTERNATIONAL INC.,0,2723.9,0,0,0,82.81,0,2644.56,0,0,0,80.4,2020,6
257,Bernafon Canada Ltd                               ,233125,CORP2,central,6/19/2020,0,4574.76,0,0,0,33,4607.76,335,SONIC INNOVATIONS CANADA INC.,0,8269.02,0,0,0,40.69,0,8028.17,0,0,0,39.5,2020,6
471,POW Laboratories                                  ,99826,ONTC ,central,6/19/2020,0,2796.93,0,0,0,80.78,2877.71,129,POW LABORATORIES INC.,0,7324.06,0,0,0,0,0,7110.74,0,0,0,0,2020,6
    ,,1307,ONTC ,central,6/19/2020,0,0,0,0,0,60,60,1,REGAL INSURANCE BROKERS INC.,12.7,0,0,0,0,2.89,12.33,0,0,0,0,2.81,2020,6
612,FYIdoctors                                        ,96491,BC1  ,Quebec,6/19/2020,0,95.73,0,0,0,0,95.73,11,VISIQUE GRENVILLE,0,193.61,0,0,0,0,0,187.97,0,0,0,0,2020,6
84,Costco Wholesale                                  ,179914,QUE1 ,Quebec,6/19/2020,0,62976.71,0,0,0,570,63546.71,20,COSTCO WHOLESALE #566,0,94040.14,0,0,0,782.8,0,91301.11,0,0,0,760,2020,6
862,Entrepot de la Lunette                            ,248503,QUE2 ,central,6/19/2020,0,1095.17,0,0,0,6.51,1101.68,131,ENTREPOT DE LA LUNETTE RETOURS,0,2266.63,0,0,0,0,0,2200.61,0,0,0,0,2020,6
166,Central Optical Inc                               ,99064,ONTC ,central,6/19/2020,0,243.65,0,0,0,0.68,244.33,15,CENTRAL OPTICAL LTD.,0,404.81,0,0,0,11.33,0,393.02,0,0,0,11,2020,6
612,FYIdoctors                                        ,114501,BC1  ,Quebec,6/19/2020,0,63.96,0,0,0,0,63.96,7,VISIQUE MONT-LAURIER,0,399.82,0,0,0,0,0,388.17,0,0,0,0,2020,6
612,FYIdoctors                                        ,98617,BC1  ,west,6/19/2020,0,185.19,0,0,0,0,185.19,20,FYI EYE CARE SERVICES AND PRODUCTS,0,360.6,0,0,0,0,0,350.1,0,0,0,0,2020,6
56,Essilor                                           ,205414,QUE1 ,central,6/19/2020,0,3260.7,0,0,0,12.93,3273.63,444,ESSILOR CANADA,0,7140.18,583.82,0,0,3.77,0,6932.21,566.82,0,0,3.66,2020,6
56,Essilor                                           ,115678,QUE1 ,west,6/19/2020,0,3877.99,0,0,0,406.78,4284.77,248,ESSILOR CANADA,0,6222.24,0,0,0,478.69,0,6041.01,0,0,0,464.75,2020,6
190,Hoya Lens Canada Inc.                             ,237551,CORP2,Quebec,6/19/2020,0,744.03,0,0,0,0,744.03,84,VISION MAURICIEN INC.,0,1505.17,0,0,0,0,0,1461.33,0,0,0,0,2020,6
    ,,112214,ONTC ,central,6/19/2020,0,0,0,0,0,60,60,1,C.C.V. INSURANCE,49.56,210.64,0,0,0,24.64,48.12,204.5,0,0,0,23.92,2020,6
153,Custom Clip On                                    ,113937,ONTA ,central,6/19/2020,0,464.77,0,0,0,6.82,471.59,34,CUSTOM CLIP ON,0,1361.51,6.51,0,0,0,0,1321.85,6.32,0,0,0,2020,6
    ,,145194,QUE1 ,Quebec,6/19/2020,0,11.58,0,0,0,0,11.58,1,CENTRE DENTAIRE MARTIN HOGUE INC.,0,11.09,0,0,0,0.88,0,10.77,0,0,0,0.85,2020,6
800,Groupe Financier PEAK                             ,48935,QUE2 ,Quebec,6/19/2020,0,42.89,0,0,0,74.14,117.03,4,SERVICES FINANCIERS PEAK,0,1333.83,0,0,0,6.7,0,1294.98,0,0,0,6.5,2020,6
    ,,9213,ONTA ,central,6/19/2020,0,26.98,0,0,0,0,26.98,1,HARDIMAN MOUNT & ASSOCIATES,19.59,104.37,0,0,0,18.67,19.02,101.33,0,0,0,18.13,2020,6
914,Crawford & Company (Canada) Inc                   ,231401,ONTC ,central,6/19/2020,3.05,121.16,0,0,0,0,124.21,8,CRAWFORD & COMPANY,83.92,456.83,0,0,0,11.33,81.48,443.52,0,0,0,11,2020,6
    ,,236675,WEST ,west,6/19/2020,0,20.75,0,0,0,1.16,21.91,3,PUROCLEAN,0,40.06,0,0,0,0,0,38.89,0,0,0,0,2020,6
14,Lunetterie New Look                               ,206301,QUE1 ,Quebec,6/19/2020,0,143.92,0,0,0,0,143.92,18,IRIS REPENTIGNY (395),0,160.61,0,0,0,0,0,155.93,0,0,0,0,2020,6
14,Lunetterie New Look                               ,173837,QUE1 ,central,6/19/2020,0,173.15,0,0,0,0,173.15,19,JOSEPHSON OPTICIANS,0,531.28,454.21,0,0,0,0,515.81,440.98,0,0,0,2020,6
190,Hoya Lens Canada Inc.                             ,233697,CORP2,Quebec,6/19/2020,0,914.6,0,0,0,66,980.6,99,LABO VISION TECH QUEBEC,0,1417.72,0,0,0,0,0,1376.43,0,0,0,0,2020,6
    ,,240518,ONTA ,Quebec,6/19/2020,0,310.49,0,0,0,0.85,311.34,18,OTTER CREEK DENTAL INC.,0,1881.62,0,0,0,28.89,0,1826.82,0,0,0,28.05,2020,6
50,Brasseler canada                                  ,179926,QUE2 ,Quebec,6/19/2020,0,1383.67,0,0,0,363.44,1747.11,92,BRASSELER CANADA,0,3626.59,0,0,0,149.04,0,3520.96,0,0,0,144.7,2020,6
956,Laboratoire Dentaire Amodentis                    ,245229,QUE2 ,Quebec,6/19/2020,0,290.79,0,0,0,0,290.79,24,LABORATOIRE DENTAIRE AMODENTIS,0,782.84,0,0,0,0.88,0,760.04,0,0,0,0.85,2020,6
861,Olab Plus                                         ,234653,QUE1 ,Quebec,6/19/2020,0,315.13,0,0,0,0,315.13,21,9242-1130 QUEBEC INC.,27.04,907.35,0,0,0,0,26.25,880.92,0,0,0,0,2020,6
56,Essilor                                           ,221018,QUE1 ,Atlantic,6/19/2020,0,150,0,0,0,4.25,154.25,38,ESSILOR CANADA,0,33.62,0,0,0,0.01,0,32.64,0,0,0,0.01,2020,6
    ,,235654,BC1  ,west,6/19/2020,0,355.38,0,0,0,3.33,358.71,23,ARTISTIC DENTAL CERAMIC LTD.,0,1195.78,0,0,0,1.75,0,1160.95,0,0,0,1.7,2020,6
56,Essilor                                           ,115915,QUE1 ,Quebec,6/19/2020,0,5209.08,0,0,0,318.73,5527.81,1312,NIKON OPTICAL CANADA INC.,0,8833.44,0,0,0,414.63,0,8576.16,0,0,0,402.55,2020,6
56,Essilor                                           ,221731,QUE1 ,Atlantic,6/19/2020,0,289.11,0,0,0,7.89,297,48,NIKON,0,795.3,0,0,0,3.54,0,772.14,0,0,0,3.44,2020,6
849,Sioz Dentaire                                     ,239670,QUE2 ,Quebec,6/19/2020,0,143.34,0,0,0,0,143.34,7,SIOZ DENTAIRE,0,250.16,0,0,0,0,0,242.87,0,0,0,0,2020,6
    ,,161250,QUE1 ,Quebec,6/19/2020,0,761,0,0,0,0,761,43,ORTHOMANIA,0,1050.03,0,0,0,0,0,1019.45,0,0,0,0,2020,6
40,GEORGES ET PHINA                                  ,108398,QUE2 ,Quebec,6/19/2020,14.87,2415.1,0,0,0,91.14,2521.11,20,GEORGES ET PHINA,140.95,6023.39,0,0,0,113.3,136.84,5847.95,0,0,0,110,2020,6
821,Montlab Optik                                     ,112324,QUE1 ,Quebec,6/19/2020,0,360.17,0,0,0,1.87,362.04,16,MONTLAB OPTIK,0,476,0,0,0,10.6,0,462.14,0,0,0,10.29,2020,6
193,Dentabel Plus                                     ,209010,ONTC ,central,6/19/2020,0,1021.13,0,185.67,0,57.45,1264.25,18,DENTABEL PLUS,2.28,3655.82,0,358.99,0,6.44,2.21,3549.34,0,348.53,0,6.25,2020,6
799,Hayes Quebec                                      ,232183,QUE1 ,Quebec,6/19/2020,0,467.11,0,0,0,67.21,534.32,37,HAYES QUEBEC,0,1544.3,0,0,0,18.03,0,1499.32,0,0,0,17.5,2020,6
190,Hoya Lens Canada Inc.                             ,249170,CORP2,Quebec,6/19/2020,0,1372,0,0,0,0,1372,171,HOYA VISION CANADA,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
